,okved,cluster
524,TRBV5-7,53
526,IGLV9-49,57
530,MIR3689E,27
531,ATP10D,3
534,MIR3158-1,26
535,OR4A11P,18
536,PCDHGA3,22
537,TRBV6-8,53
538,IGKV1-12,16
543,OR4N1P,30
544,TRAV8-4,5
547,PKD1P3-NPIPA1,4
548,PCDHA12,15
549,TRBV7-9,5
551,TRAV1-1,47
552,IGKV2-40,52
553,TEX33,21
554,ATP8A2,3
556,USP17L13,20
560,TRBV9,5
563,IGHV3-35,17
570,TRBV7-1,53
571,P3R3URF,21
572,PRR20E,6
575,IGHV3-64,17
576,PCDHA13,15
577,MIR4773-1,7
581,H3C7,45
583,TFAP2A-AS2,4
584,TRAJ31,0
590,OR9I3P,43
595,TRAV35,47
599,IGHV5-10-1,50
600,MIR3689C,27
602,MIR6736,4
606,MIR1289-1,4
608,MIR6752,4
610,TRBV7-8,5
612,MIR548AK,14
613,USP17L10,20
617,CT47A5,13
620,CT47A7,13
622,GOLGA8R,49
623,TRBV6-5,5
625,H2BC4,42
626,H3C1,19
629,OR5B10P,43
631,OR5W2,24
632,PCDHGB4,22
637,RBMY1J,56
640,PRR20A,6
644,USP17L15,20
645,OR5M2P,18
646,IGKV3D-20,12
650,PCDHA8,15
660,RBMY1B,56
661,TRBJ1-5,55
662,MIR892B,10
664,MIR5787,41
668,MIR10400,4
670,PLA2G2F,29
672,BAGE5,54
676,MIR7110,41
677,IGHV2OR16-5,17
678,ELOA3BP,2
679,SPDYE14,2
681,MT-ND4,23
682,OR6C64P,28
687,PLSCR3,3
688,BAGE3,54
689,MIR6791,4
690,IGHV3OR16-10,17
691,H2AC10P,35
692,MIR3192,31
695,IGKV1-16,12
696,MIR3913-1,7
699,ATP11C,3
701,IGLV3-21,16
705,OR5T1,32
706,MIR6729,14
707,LOC408186,26
708,IGLV1-44,16
710,OR5AM1P,18
711,IGHV3-53,12
713,OR5B19P,34
715,IGHV1-58,17
718,IGHV3-30-5,50
719,OR6M2P,35
720,MIR6855,14
721,IGKV2D-29,57
723,TRBV6-1,5
724,IGHV4-30-4,50
727,IGHV2-70,12
728,MIR5588,48
729,CT47A8,13
732,SPDYE15,35
733,OR9I2P,43
735,OR7E46P,36
737,IGHV3-15,16
738,TRBV7-2,5
742,IGLV3-27,12
745,TRAJ40,0
746,TRAJ25,0
748,TRAJ11,0
749,IGHV1-45,17
750,OR8V1P,43
754,IGHV4-39,16
756,TRAJ2,0
757,OR7E106P,36
759,TEX54,24
765,OR5M12P,18
766,PCDHGA5,22
767,IGHV3OR16-9,17
768,TRBJ2-5,53
770,TPRX1P1,2
774,TMEM225,24
775,LRRC14B,54
777,MIR1285-1,48
779,USP17L26,20
787,TEX51,21
788,PLA2G3,3
790,IGHV1-46,12
797,DUX4L4,11
798,TRBV10-3,5
799,OR5BC1P,43
801,MIR3689B,27
802,USP17L29,20
806,PRAMEF20,38
807,MIR4305,31
808,PLA2G2A,3
809,PCDHA1,15
811,TRBV11-1,47
814,OR9L1P,43
815,IGKV3-11,16
819,USP17L27,20
821,OR13F1,32
826,H2BC7,42
828,IGLV5-48,52
829,IGLV7-46,9
830,TRBV27,5
832,IGLV3-19,16
833,MIR5088,4
834,TRBV4-3,53
836,PLD4,3
838,TRBJ2-4,53
840,MIR1273H,48
842,MIR5707,1
843,IGHV3-11,12
846,IGLV2-8,16
847,OR9G3P,18
849,H3C14,19
856,IGHV3-7,16
857,MIR5695,4
860,MIR6862-1,39
862,IGKV1D-39,12
864,TRNAG-GCC,33
866,OR5BE1P,18
870,TRBV5-5,47
872,PCDHA11,15
873,IGHV3-9,12
874,TRAV13-1,5
876,PRAMEF14,38
879,IGHV1-24,17
881,OR5M13P,18
882,IGLV1-40,16
884,OR4A4P,36
885,TRNAG-UCC,33
887,USP17L11,20
888,MIR3115,37
889,USP17L21,20
891,TRAJ22,0
893,IGHV3OR16-13,17
894,MIR6770-2,39
899,ATP8A1,3
900,IGKV1D-42,52
901,OR7E109P,36
902,IGLV3-25,16
906,IGLV8-61,9
908,TRAV16,46
909,TRAJ43,0
911,MIR4507,48
915,TRAJ21,0
916,USP17L23,20
918,H2AC3P,2
922,MIR7704,48
923,TRAV6,46
925,TRAJ32,0
934,TRBV4-1,5
938,OR9M1P,34
940,GOLGA8N,49
941,OR56A4,32
953,MIR7155,1
957,TRAV26-2,47
960,IGHV1-69,16
963,H2BP6,7
964,MIR6511A3,44
966,MIR4327,10
967,OR56A1,32
969,OR4A46P,34
972,MIR3135A,41
976,PCDHA7,15
980,MIR6721,51
983,TRAV34,47
984,IGLV3-16,9
989,OR5M4P,18
991,USP17L25,20
994,DUXAP6,2
995,IGHV3-30-3,50
996,GOLGA8T,49
998,IGKV1-27,57
999,IGKV2D-28,12
1000,PCDHGA7,22
1001,MIR6770-1,39
1002,MIR6786,4
1003,FAM90A3P,7
1004,IGKV1-33,12
1005,IGKV1-13,52
1006,IGKV2D-40,12
1011,PCDHGA12,22
1013,IGKV3-20,16
1016,PRAMEF15,38
1017,TRBJ1-2,55
1018,IGHV3-30,16
1020,OR51P1P,34
1022,TRAJ36,0
1025,MIR7114,4
1027,TRAJ52,0
1028,MIR4685,31
1030,H3C15,19
1032,OR11G1P,36
1033,IGKV2-28,16
1034,H4C15,40
1036,PLA2G5,3
1041,TRAJ5,0
1042,PLSCR5,3
1045,PRAMEF4,38
1046,MIR6832,51
1047,MIR7703,4
1048,SMCO1,54
1049,H1-7,21
1051,IGHV3-49,17
1052,TRBV2,5
1054,MIR6743,4
1058,IGHV1-69-2,17
1059,PRAMEF18,38
1062,PRAMEF6,38
1064,TRAJ12,0
1065,LINC02876,7
1068,IGLV10-54,9
1072,IGKV1-17,16
1073,OR8F1P,8
1076,TRAJ47,0
1078,ATP10A,3
1079,MIR8485,14
1080,OR4A21P,18
1081,MIR6742,4
1083,IGKV1D-37,52
1085,TRBV6-6,46
1087,OR13D2P,2
1094,TRAJ42,0
1095,TRAJ49,0
1096,TRBJ1-1,55
1102,H4C4,40
1103,PCDHGC4,22
1105,MIR6514,39
1106,H3C2,45
1108,MIR6852,48
1110,BAGE4,54
1111,MIR10392,39
1114,ATP8B3,3
1116,IGKV3-15,16
1117,OR4V1P,18
1119,IGKV1-8,57
1121,TRAV26-1,5
1127,PRAMEF2,38
1130,MT-ND5,23
1131,CT47A12,13
1135,PCDHGA2,22
1136,PCDHGB1,22
1138,MIR8065,44
1146,SEPTIN12,21
1148,IGLV4-69,9
1151,OR6D1P,2
1154,TRAV25,46
1156,TRAJ16,0
1157,MIR3689D1,27
1158,OR4U1P,30
1159,MIR3913-2,7
1160,MIR151B,48
1161,OR52X1P,34
1162,OR4T1P,30
1164,RBMY1F,56
1167,MIR3187,25
1169,MT-ND2,23
1172,MIR3118-4,1
1173,IGHV3-66,17
1175,OR56A7P,34
1179,PLSCR4,3
1180,TRAV12-1,5
1184,GOLGA8K,49
1185,MIR6877,1
1186,OR4A13P,18
1188,H3C12,45
1189,TRBV6-9,47
1190,RBMY1D,56
1191,TRAV12-3,5
1192,TRBV5-4,5
1193,USP17L30,20
1194,TRBV5-3,53
1195,IGHV1-3,17
1198,OR4A12P,18
1199,MIR3689F,27
1204,H2BC9,42
1209,TRBV10-1,47
1211,TRBV11-3,47
1212,TRAV29DV5,5
1215,GOLGA8Q,49
1220,MIR3157,37
1221,OR7E111P,36
1222,FAM90A7,15
1223,IGLV3-9,57
1225,MIR6741,48
1226,OR6C5P,28
1233,MYOPARR,39
1234,MIR548S,14
1235,PCDHGB2,22
1236,TRAV27,47
1238,DUX4L7,11
1240,IGLV1-51,12
1242,OR7E85P,34
1244,TRBV7-6,46
1246,MIR451B,31
1248,MIR6815,48
1249,OR5AQ1P,18
1251,OR5B15P,43
1252,TRAV17,5
1254,SLC35G4,24
1258,TRAJ57,0
1261,IGHV1-2,16
1266,CT47A10,13
1268,MIR6838,4
1271,H3C4,45
1272,H2BC21,42
1273,USP17L18,20
1275,MIR6772,44
1279,TRBJ1-6,55
1281,TRAJ20,0
1283,IGHV3OR15-7,17
1284,TRBV7-7,47
1285,TRBV3-1,5
1290,TRAJ38,0
1291,IGKV1D-16,12
1295,OR8L1P,18
1297,IGLV5-39,50
1302,IGHV3OR16-8,17
1304,IGLV3-10,57
1307,IGKV6-21,52
1312,OR4D7P,43
1315,IGHV4-61,17
1316,OR4K2,24
1317,TRAV13-2,5
1320,TRAJ9,0
1324,TRBJ2-7,53
1325,IGKV2D-30,12
1326,TRNAD-GUC,33
1327,MIR5697,41
1329,MIR6511A4,44
1330,OR5AP1P,18
1331,IGLV3-1,16
1332,MIR6862-2,39
1333,MIR3689D2,27
1334,MIR7976,41
1335,IGHV2-5,12
1338,TRBV6-7,53
1341,MIR4667,25
1345,PCDHGB6,22
1346,OR7E23P,36
1350,TEX44,21
1352,OR7E43P,36
1354,IGLC7,16
1355,TRBV6-3,53
1358,OR6C72P,28
1360,MIR6127,4
1362,PCDHGB7,22
1363,MIR8083,41
1364,IGHV3-23,16
1365,IGKV5-2,12
1366,TRAJ27,0
1368,H3C8,19
1372,ATP8B2,3
1373,IGHV4-59,16
1375,RN7SKP60,2
1376,OR2B3,24
1378,CNTNAP3C,26
1379,IGHV4-38-2,50
1387,TRAV8-2,5
1388,TRAJ24,0
1389,IGHV4-30-2,17
1390,IGLV2-18,9
1393,IGKV2D-24,52
1395,TRAJ7,0
1396,MIR514A1,10
1397,TRDV1,5
1400,IGHV3-33,12
1401,TRNAA-AGC,33
1402,PRAMEF1,38
1409,TRAV8-6,5
1410,MT-ND6,23
1411,MIR4448,48
1412,IGKV1D-43,52
1417,IGKV2D-26,52
1418,MIR3121,37
1419,IGKV3D-7,52
1420,TRAV4,5
1422,TRBJ2-6,53
1426,OR6C7P,28
1427,OR7E31P,36
1428,OR52B1P,34
1430,USP17L24,20
1432,IGHV6-1,17
1433,MIR6888,14
1434,MIR4730,31
1435,OR8Q1P,8
1438,OR7E105P,34
1440,FAM90A19,15
1441,MIR3158-2,26
1442,TRAJ54,0
1443,TRAJ44,0
1445,IGHV3-73,16
1447,IGHV4-28,17
